Year,YoY_Growth_%
2012,
2013,53.957656421567954
2014,-1.8921065140141136
2015,63.2672145315738
2016,2513.721504333481
2017,-3.4002162275159398
2018,-15.385068684365299
2019,47.68952912390314
2020,-93.81919956276936
2021,-85.92838476775607
