Partner Name,Country
SingTel Optus Pty Limited,Singapore
"SingTel, Singapore(GSM900/3G)",Singapore
Smart Communication-Philippines,Philippines
Soft Bank Mobile Corp,Japan
Sprint Corporation,United States
"StarHub, Singapore",Singapore
Sunrise Switzerland CHEDX,Switzerland
"Swisscom,Switzerland",Switzerland
T-Mobile - UK,United Kingdom
T-Mobile Czech Republic,Czech Republic
T-Mobile Deutschland GmbH,Germany
T-Mobile Netherlands BV,Netherlands
"T-Mobile Netherlands, NLDDT",Netherlands
"T-Mobile Netherlands, NLDPN",Netherlands
TDC-Denmark,Denmark
TELE2 Croatia Luxembourg,Estonia
TELIASONERA FINLAND OYJ,Finland
"TELUS, CANADA",Canada
TIM Italia S.p.A Italy,Italy
TOUCH Lebanon,Lebanon
Taiwan Mobile,Taiwan
Tango SA,Luxembourg
"TataDocomo, India  (HARYANA)",India
"TataDocomo, India (Andhra Pradesh)",India
"TataDocomo, India (Bihar)",India
"TataDocomo, India (DELHI)",India
"TataDocomo, India (GUJARAT)",India
"TataDocomo, India (HIMACHAL PRADESH)",India
"TataDocomo, India (KARNATAKA)",India
"TataDocomo, India (KERALA)",India
"TataDocomo, India (KOLKATA)",India
"TataDocomo, India (MADHYA PRADESH)",India
"TataDocomo, India (Maharashtra)",India
"TataDocomo, India (Mumbai)",India
"TataDocomo, India (ORISSA)",India
"TataDocomo, India (PUNJAB)",India
"TataDocomo, India (RAJASTHAN)",India
"TataDocomo, India (RO WB)",India
"TataDocomo, India (TAMIL NADU)",India
"TataDocomo, India (UTTAR PRADESH (WEST))",India
"TataDocomo, India (UTTAR PRDESH (EAST))",India
Telcel Mexico(MEXTL),Mexico
Tele 2 Latvia LVABC,Latvia
Tele 2 Sweden,Sweden
Tele 2- Estonia ESTRB,Estonia
Tele2 Sverige AB,Estonia
Telecom New Zealand Limited,New Zealand
Telefonica Moviles Espana S.A,Spain
Telefonica Panama,Panama
Telefonica SP,Spain
Telefonica UK Limited,United Kingdom
Telefónica Móviles Argentina S.A.,Argentina
Telenor Denmark(DNKDM),Denmark
Telenor Norge AS,Norway
Telenor Norway(NORTM),Norway
Telenor Sweden(SWECN),Sweden
Telenor Sweden(SWEEP),Sweden
Telenor-Myanmar,Myanmar
"Telfort B.V, Netherlands",Netherlands
TeliaSonera Mobile Networks AB,Sweden
TeliaSonera Norge AS,Norway
Telstra Corporation Limited,Australia
Total Access Communications Co THAWP,Thailand
"True Move, Thailand",Thailand
"Truemove,Thailand,THACT",Thailand
Turkcell Turkey(TURTC),Turkey
VIETTEL MOBILE VNMVT,Vietnam
"VIVO MG Brazil,BRATC",Brazil
"VIVO SA Brazil, BRAV1",Brazil
"VIVO SA Brazil, BRAV2",Brazil
"VIVO SA Brazil, BRAV3",Brazil
"VIVO SA Brazil,BRAV2",Brazil
"VIVO SA Brazil,BRAV3",Brazil
Verizon Wireless,United States
Verzion Wireless,United States
Vietnam Mobile Mobifone(VNMMO),Vietnam
"Vivo MG Brazil,BRATC",Brazil
Vodacom South Africa,South Africa
Vodafone Albania Sh.A,Albania
Vodafone Czech Republic a.s.,Czech Republic
"Vodafone Espana, Spain",Spain
"Vodafone Espana, Spain ESPVV",Spain
Vodafone Essar Cellular Limited INDBT,India
Vodafone Essar East India(Kolkata),India
Vodafone Essar Ltd Mumbai,India
Vodafone Essar Mobile Services Limited,India
Vodafone Germany,Germany
Vodafone Ghana,Ghana
Vodafone Hungary,Hungary
Vodafone Hutchison Australia,Australia
Vodafone Ireland,Ireland
Vodafone Ireland(IRLEC),Ireland
Vodafone Kerala India,India
Vodafone Malta(AAZVF),Malta
Vodafone Malta(MLTTL),Malta
Vodafone Mobile NZ Limited,New Zealand
Vodafone Netherlands,Netherlands
Vodafone Omnitel N.V-Italy,Italy
Vodafone Panafon,Ghana
Vodafone Portugal,Portugal
Vodafone Qatar Q.S.C,Qatar
Vodafone Romania(ROMMF),Romania
Vodafone Turkey(TURTS),Turkey
Vodafone West Limited,India
Vodafone- UK GBRVF,United Kingdom
Wataniya Telecom MDVWM,Maldives
Wataniya Telecom Maldives,Maldives
Wireless Maritime Services,Bermuda
ZAIN (Mobile Telecommunications Company),Kuwait
Zain Kuwait(KWTMT),Kuwait
